funding_rounds,founder_experience_years,team_size,market_size_billion,product_traction_users,burn_rate_million,revenue_million,investor_type,sector,founder_background,outcome
0,9,62,10.563397445201575,17584,4.173615708110929,64446.21879248776,tier2_vc,Ecommerce,first_time,Failure
1,23,2,8.574755070929474,81037,7.29260311603721,345051.93974560575,none,Fintech,serial_founder,Acquisition
2,24,23,2.320265145228424,467570,18.186609357797117,2188029.8350940114,angel,Fintech,first_time,Acquisition
1,3,191,10.30025576049481,314027,14.169289438714731,697129.9572147301,angel,Ecommerce,serial_founder,Failure
3,21,20,62.30727491015375,208053,7.087619255218967,766774.3002729364,angel,Ecommerce,serial_founder,Acquisition
3,21,233,88.94066023142868,94774,66.08673350657564,415105.87847478053,angel,Health,first_time,Failure
0,9,203,41.86034864205681,153159,9.18675720103042,573735.0516042471,none,Health,first_time,Failure
1,7,112,31.713601767671616,421492,6.991008532169454,438183.45070931,none,SaaS,first_time,Failure
2,20,110,49.255921595527106,280218,6.529001141432458,182642.69830962934,tier2_vc,Health,serial_founder,Failure
2,15,119,304.9670455473844,652044,13.458597515792455,1795234.5456474142,angel,Ecommerce,academic,IPO
2,18,279,15.490539517020563,368781,10.76850093892688,1634518.0872618272,angel,Climate,first_time,Acquisition
2,1,234,5.2380235768613375,453465,6.503760201614612,2177788.7613584306,none,Ecommerce,academic,Acquisition
4,16,167,81.85016937868721,166453,25.289851081346097,565246.2459527534,tier2_vc,AI,ex_bigtech,Acquisition
3,7,295,20.903350516903654,420170,9.376198806478351,1659792.9901367156,none,Ecommerce,first_time,Acquisition
4,23,289,3.2886761080067255,388726,5.438350099199212,960125.0387361138,tier2_vc,Health,first_time,Acquisition
4,16,281,10.742222795054603,122164,9.033867240809752,224304.91372597337,none,AI,academic,Acquisition
2,23,294,17.750963748668926,376564,16.916341503896444,1642747.837744862,none,AI,serial_founder,Acquisition
0,22,149,7.461292871395526,67595,4.482468069853461,164325.9105963068,tier2_vc,Ecommerce,serial_founder,Failure
0,23,119,7.5639928801294145,539925,2.8340616123827385,2265943.7679989575,none,Crypto,serial_founder,Acquisition
3,17,104,29.102559881508544,544775,4.35066758415846,1422424.9786953395,tier1_vc,Crypto,ex_bigtech,Failure
1,21,280,56.45648224027955,203573,2.8382419604059734,889832.7784439544,tier2_vc,Climate,first_time,Failure
3,1,214,15.209865761568883,257895,22.02889504384204,1262989.91531258,tier2_vc,Crypto,first_time,Acquisition
2,0,155,62.69184925436174,231837,6.427055240061379,774718.5228609418,none,Health,first_time,Acquisition
1,6,150,14.72838647544902,83237,11.187883356377053,305536.3628650827,angel,SaaS,first_time,Failure
3,4,205,5.1764258331864115,269847,9.752053371747117,623252.6029674477,tier1_vc,Crypto,ex_bigtech,Failure
3,12,204,48.06594135628178,52709,12.308926965168855,240979.0538480192,tier1_vc,SaaS,ex_bigtech,Failure
4,16,223,229.07120731771005,125935,23.97875616693943,392325.40989209077,none,Climate,first_time,Failure
1,6,87,65.099399097534,663293,2.96863692046366,1036886.6143187104,tier2_vc,Climate,ex_bigtech,Acquisition
3,20,247,35.70985341335911,132375,8.54413025348976,481823.09168634773,tier2_vc,Fintech,first_time,Acquisition
2,21,57,18.50537293399948,391940,17.312922889078976,1793263.3102082724,none,Climate,ex_bigtech,Acquisition
2,1,295,16.82996507441829,395008,6.162067662617288,1708398.1427166315,tier2_vc,Fintech,first_time,Acquisition
2,18,41,12.862669483857335,250298,16.543550727272407,890062.8769217165,tier1_vc,Climate,academic,Failure
4,9,48,25.092893887615947,258882,34.20083690053853,812660.5559473851,angel,Ecommerce,serial_founder,Acquisition
2,22,267,15.787497821954611,347855,10.457792150732676,382981.71339130384,none,Ecommerce,first_time,Failure
2,16,136,180.02068626732895,351300,19.317897231343462,719646.6363034599,none,Fintech,ex_bigtech,Failure
4,6,282,12.992717800999374,314994,15.230853935453482,953730.4008375575,none,Ecommerce,academic,Failure
5,9,229,16.125036453637996,347561,38.842327147221106,736860.0865220082,tier2_vc,Crypto,ex_bigtech,Acquisition
1,10,264,15.895965561772723,183178,3.6510923023678434,591549.5481460028,none,SaaS,first_time,Failure
1,9,138,19.183724437468015,39039,48.082951899577544,96174.19772649351,none,AI,first_time,Failure
1,20,134,6.229284568224839,364830,5.159220857442844,470532.08656351495,tier1_vc,SaaS,academic,Acquisition
5,11,267,12.97819361484095,510459,16.3894999199614,324434.87898373185,tier1_vc,Ecommerce,serial_founder,Acquisition
2,6,173,37.17190105811309,395010,8.668042163792913,1332325.4128049684,none,AI,academic,Acquisition
3,15,281,14.546060871234051,174663,4.538494681685075,628674.2171998385,tier2_vc,Ecommerce,first_time,Acquisition
1,8,288,4.45491704931969,31375,21.660298717806416,62843.17305065563,tier2_vc,Health,ex_bigtech,Failure
3,18,119,16.917859579094163,471246,27.456751682216996,1225114.2843532104,none,Health,ex_bigtech,Acquisition
3,15,232,31.23470327722013,169722,6.664231974315846,357829.2640463778,tier2_vc,Health,first_time,Acquisition
8,9,281,10.626046728903017,67943,11.46767753470356,54751.1087159224,tier2_vc,Climate,ex_bigtech,Failure
4,22,213,43.37889860428823,247721,9.694669370689589,636123.1157936285,angel,Climate,ex_bigtech,Acquisition
3,5,189,30.16757754003153,536594,18.725049365405738,375550.35323723307,tier1_vc,Crypto,academic,Acquisition
3,15,228,51.91426331353184,275297,22.65970187194429,669641.4719742488,angel,Ecommerce,ex_bigtech,Acquisition
3,13,280,25.131408311392263,365747,27.100943885795193,676601.6673932489,none,Crypto,first_time,Failure
3,2,42,4.745287041315673,187338,10.188759963613116,326440.94332992047,tier2_vc,SaaS,first_time,Failure
3,17,68,24.998866655088918,257273,4.914390085021506,561755.0634293646,tier2_vc,Crypto,first_time,Failure
5,10,146,10.814261014184334,369827,12.923855935539319,1631659.456569,tier2_vc,SaaS,academic,Failure
0,4,4,7.345160706650343,327855,12.31505870070887,1358119.1527805494,tier2_vc,Fintech,academic,Failure
2,12,182,1.364376744561265,280719,19.212777789462432,886114.4902148375,angel,Climate,first_time,Acquisition
1,24,168,18.27185573248531,539226,21.42253255808985,1222861.0392958873,tier2_vc,AI,serial_founder,Acquisition
2,11,94,68.81793652828472,244374,6.40283567870214,173857.14808097863,angel,Climate,serial_founder,Failure
4,18,64,7.936293210300502,316762,10.482058514110477,1375437.1474425688,tier2_vc,Ecommerce,academic,Acquisition
2,18,86,16.123985228611048,6303,3.6230949125321557,21603.257727874876,tier2_vc,Ecommerce,serial_founder,Failure
2,22,258,104.07666077060077,164675,17.513256445113427,377055.8111086456,tier2_vc,Ecommerce,academic,Acquisition
2,9,261,141.11132619634068,687231,0.9497733351530967,2748431.34793462,tier2_vc,Health,first_time,Acquisition
3,15,104,9.013839802458213,174482,6.823349973881632,815727.1199909061,tier2_vc,Fintech,serial_founder,Failure
2,14,109,38.36390735920907,291786,9.198485943732488,1334765.2872916465,tier2_vc,AI,first_time,Acquisition
3,13,14,6.427687976162889,291571,4.977036229832672,927702.6158836242,tier2_vc,Ecommerce,first_time,Acquisition
3,24,219,48.82987414519405,157230,32.05440748395907,424663.3591351256,none,Crypto,ex_bigtech,Acquisition
1,23,299,14.75896765564699,481153,3.768993573904165,847780.6161821205,tier1_vc,Climate,first_time,Failure
0,13,143,17.921055175952546,218078,5.114665006631423,967690.9903086985,tier2_vc,SaaS,ex_bigtech,Acquisition
0,8,103,85.54243587214883,430878,15.264825504643236,1869032.2073480051,angel,SaaS,academic,Acquisition
1,5,261,14.691703319142011,171552,19.7912333807517,781446.8775139784,none,SaaS,ex_bigtech,Acquisition
2,17,258,67.45225514082193,193456,20.994186837506646,689703.0933928542,tier2_vc,Ecommerce,serial_founder,Failure
1,4,144,26.919625874064877,307250,13.1828294522525,1411282.6160710359,none,SaaS,academic,Failure
2,24,216,9.304766782532619,305461,3.5743491828194625,248857.5594151044,tier1_vc,Climate,ex_bigtech,Acquisition
1,1,227,11.657595494994112,336106,12.783054678527593,646909.5810793446,tier2_vc,AI,first_time,Acquisition
0,6,16,123.22176152024552,319056,4.065393377793842,1579750.8476740115,angel,AI,ex_bigtech,Acquisition
2,19,212,192.9651172137564,183933,15.638040279391626,117605.17745815341,none,Climate,first_time,Failure
1,21,280,43.67431831193238,110512,15.854315058226375,214301.93851707995,tier1_vc,Crypto,first_time,Acquisition
2,14,212,21.442394119012622,243813,3.790638819563125,521000.7679623094,none,SaaS,ex_bigtech,Acquisition
1,10,12,91.46501111854312,625324,5.457139950659216,1013308.6147368021,tier2_vc,Crypto,ex_bigtech,Failure
1,24,89,11.006763087839943,271771,101.83108164721094,288796.9861767592,tier2_vc,AI,first_time,Failure
1,13,201,112.20744603559099,185803,8.49419237984671,379170.00759772724,none,Climate,ex_bigtech,Failure
4,9,103,4.1066502202609,89335,21.073362063896322,254915.7255196194,none,Ecommerce,serial_founder,Acquisition
3,4,79,64.26174645554684,97767,12.549668308436647,412990.08746906265,angel,Crypto,academic,Failure
0,1,263,3.916646362030325,328820,5.278864145233914,288614.2922815748,tier1_vc,AI,academic,Failure
1,7,262,9.198402512839008,40150,21.98969111225138,191387.57722390688,tier1_vc,AI,ex_bigtech,Acquisition
3,2,36,9.432817149380014,347679,65.30638424129116,1623747.17050072,tier2_vc,Health,serial_founder,Acquisition
2,3,121,28.418192322082767,170063,5.254989120279606,279681.3263144454,tier1_vc,SaaS,first_time,Failure
2,17,66,5.599570762087935,217560,10.455747204523265,625563.1943605504,tier2_vc,Ecommerce,ex_bigtech,Acquisition
4,4,287,10.633920731268631,78967,15.502422600622754,79548.42150170401,tier1_vc,Crypto,ex_bigtech,Failure
0,4,19,35.884141341163186,175071,29.082896397361996,596138.373387279,none,Climate,academic,Failure
3,5,140,121.25164628854081,525794,21.06817191696179,926085.778207891,none,AI,ex_bigtech,Acquisition
1,7,147,12.911940209612704,214200,79.84916697681238,744079.8887636665,angel,Health,ex_bigtech,Failure
2,18,154,36.080359853391336,177017,24.98321484384277,503212.8154558746,none,Crypto,first_time,Acquisition
7,5,130,14.248187710375436,258636,4.055506703956368,192093.22859062135,angel,SaaS,ex_bigtech,Acquisition
2,14,135,52.61959523484424,179022,15.455896856043838,744788.8211939482,tier1_vc,Climate,ex_bigtech,Failure
3,15,260,16.92619523838351,337342,28.782491617755298,1010696.6205628074,angel,Ecommerce,first_time,Acquisition
3,5,273,31.342185292442093,177555,4.638522672849893,123500.25742745175,none,Ecommerce,first_time,Failure
1,10,83,54.96820856940987,467241,6.9349816323069895,1970924.2927386968,tier2_vc,AI,ex_bigtech,Acquisition
4,12,215,16.324880081068287,252378,6.704970202251949,765756.5520626142,angel,Climate,first_time,Acquisition
2,4,180,3.8685042408864274,142598,18.56796268009122,570203.0313090232,none,Fintech,first_time,Failure
1,24,114,6.816801054252126,176665,7.953930730645526,559793.636426987,tier2_vc,SaaS,academic,Acquisition
4,13,130,92.88008852555829,71953,15.82774593136874,167167.3283649714,tier2_vc,Ecommerce,ex_bigtech,Acquisition
4,14,105,35.45453145974176,131894,36.66919482288765,519281.2268076498,angel,Health,serial_founder,Failure
1,14,101,45.1079186091443,273645,7.030855447536369,206025.54805204525,angel,Health,first_time,Failure
2,10,148,3.4622531148335787,106921,23.186324342522457,145065.5265275653,tier2_vc,SaaS,academic,Failure
1,1,75,20.90039233533668,386685,3.091302293991994,1799453.9897758735,none,AI,serial_founder,Acquisition
0,1,156,8.376962427795547,594718,5.648293260839168,2451906.8900162247,tier2_vc,AI,academic,Acquisition
1,5,205,25.403402796896835,137253,38.59253399384899,368209.3204378081,tier1_vc,SaaS,first_time,Failure
1,11,55,21.159123275526277,616480,9.771524878242452,1005047.1769048398,angel,SaaS,academic,Failure
2,8,30,4.778136785043632,213204,73.02802642513741,782300.8777165785,angel,Crypto,first_time,Acquisition
3,18,268,10.403098468620586,188171,23.020492741686304,737973.6387314595,angel,AI,serial_founder,Acquisition
3,6,258,62.687111000687246,175161,12.76015803674008,566168.1759500598,tier1_vc,Ecommerce,ex_bigtech,Failure
0,20,173,7.061176006145789,450426,1.826713742008199,691973.2010200194,tier1_vc,Health,ex_bigtech,Acquisition
1,22,204,6.861797463285669,166754,4.95882073496337,466642.68571613607,none,Climate,academic,Acquisition
1,4,45,6.090488954960307,284423,7.724814413562815,1216182.8037983242,none,Health,ex_bigtech,Failure
3,21,211,11.230649842333188,143305,15.608098713059995,308773.58916718105,angel,AI,ex_bigtech,Acquisition
2,23,106,23.63276627244246,409786,13.158485116455529,578447.8428685559,tier1_vc,Ecommerce,first_time,Acquisition
0,2,215,15.898657719619454,172508,15.587411229923555,262303.9571371298,tier2_vc,Crypto,serial_founder,Failure
0,0,87,2.44072794514025,689061,47.86231888493692,833241.1782624918,none,SaaS,serial_founder,Acquisition
2,24,56,6.340474088567758,138122,13.520541892268971,501585.77852558927,none,AI,academic,Failure
2,10,28,51.05381785681057,205382,4.4507251815282425,629373.3433089663,none,Crypto,serial_founder,Failure
1,4,78,20.346130153054563,126548,13.284418370116006,437202.5533466198,none,Health,ex_bigtech,Failure
2,14,145,5.86611848873888,354125,11.079739668368962,802880.7894872591,none,Ecommerce,academic,Failure
1,4,228,19.265490972170667,223527,17.748987142181626,747398.9087013948,none,Crypto,academic,Failure
0,19,54,9.09300764148533,215691,8.953492056085123,613933.3173775607,tier2_vc,Climate,first_time,Failure
1,11,173,6.926395148836545,312324,14.300095976720256,221358.4179827557,tier2_vc,AI,academic,Acquisition
1,13,216,14.36485238600443,195931,129.5629661983949,870439.208436343,tier2_vc,SaaS,ex_bigtech,Failure
1,13,118,5.350884696672758,129073,7.236410950844499,243451.98773083914,angel,Climate,academic,Failure
3,6,258,65.83632668601763,370180,4.744169114777697,1488166.2183952862,tier2_vc,Health,academic,Acquisition
5,17,241,47.910941840750105,264381,13.587475473690128,550730.7180434624,tier2_vc,Health,serial_founder,Acquisition
0,2,8,8.790415186556773,244071,10.779146710318614,1171504.7861524273,tier2_vc,SaaS,ex_bigtech,Failure
0,1,6,18.88357650040162,242771,6.1919757440831065,204550.70569786403,none,Fintech,first_time,Failure
2,8,241,83.28026130291391,146411,5.612594194174786,507774.7761177404,tier2_vc,Crypto,first_time,Failure
2,12,17,87.26010002816315,49071,10.776277981704046,118365.96316575746,tier2_vc,SaaS,serial_founder,Failure
3,6,264,70.31726983717255,261614,15.446057021451926,393246.67140627105,none,Health,serial_founder,Failure
1,1,242,56.15227731161574,329545,64.15184407186591,1458385.7388408044,tier1_vc,Crypto,ex_bigtech,Acquisition
4,21,2,7.980706974847344,332109,23.292645509424606,1114931.7521177977,none,Climate,first_time,Acquisition
2,19,156,54.99874915295168,263209,42.97549176610301,841280.1632173393,none,Fintech,academic,Failure
0,15,191,2.069282057987089,469549,2.1321534627040633,1036226.5575318163,tier2_vc,SaaS,academic,Acquisition
4,4,264,15.838295220745016,391188,8.604688236156631,1339270.7933165436,tier2_vc,Health,first_time,Acquisition
3,19,256,5.72206958545201,131629,5.395292560862267,298133.82335898414,tier1_vc,Ecommerce,serial_founder,Failure
3,2,101,45.69054661894274,90428,9.293038489954554,56546.688831350475,tier1_vc,Health,first_time,Acquisition
0,0,31,36.574986001047485,695755,7.68269526625327,1504270.8648618038,angel,Crypto,first_time,Failure
4,9,186,89.41735651897004,445563,122.27444275861518,629233.5322163338,angel,Climate,ex_bigtech,Acquisition
5,9,10,40.09654145445819,246301,3.464713638782366,700630.9188956136,tier1_vc,Ecommerce,serial_founder,Failure
2,17,60,86.35349155061039,589425,12.448913967277567,1649216.2988682678,none,AI,first_time,Failure
1,7,207,15.742898500263008,55718,6.081006264395489,91122.67956249532,tier2_vc,AI,first_time,Failure
3,8,105,4.657862944775163,778470,24.578916075936412,3290033.182900461,tier2_vc,Climate,first_time,Acquisition
3,15,17,7.770447786685279,427511,10.327276348306297,933738.4598690864,tier1_vc,SaaS,serial_founder,Acquisition
4,24,281,7.442975126280675,218338,29.07369037563376,351580.466487618,angel,Health,academic,Acquisition
2,17,79,4.2717657544382,152526,11.451675220699432,342225.34323754284,tier2_vc,Ecommerce,academic,Failure
2,1,244,49.31523889496047,224582,12.824437554084508,488046.9998187039,angel,Climate,ex_bigtech,Failure
2,22,277,20.443663914671745,185852,23.559205375237404,342838.7836368106,tier2_vc,SaaS,first_time,Failure
0,9,20,8.901116713593959,220492,11.311491037385753,1094049.8875626782,none,Fintech,serial_founder,Failure
3,1,108,8.86658837072208,307698,23.38720632858067,1146324.4449633737,none,Health,first_time,Acquisition
5,21,273,3.768175207232389,287810,11.598606977141252,1088275.5853233144,none,SaaS,serial_founder,Acquisition
2,7,71,22.350252468980955,186420,5.182342632829844,293913.9379539288,tier1_vc,Crypto,first_time,Failure
4,17,20,6.702372707581628,104102,5.6713780506386255,475170.5079513471,tier1_vc,Health,ex_bigtech,Failure
1,22,180,6.989876669543277,428931,23.380354259663537,217257.92003136378,angel,AI,serial_founder,Failure
1,22,77,31.972960623152005,352893,84.03124883256972,813462.0374798682,angel,Climate,ex_bigtech,Acquisition
2,21,98,37.536151330134174,143006,36.853084636486564,212486.10291465843,tier1_vc,AI,academic,Failure
4,14,72,2.9388854623806906,128373,5.1091569724262635,537560.7163989476,tier1_vc,Health,serial_founder,Failure
1,9,263,25.302579389900238,304692,7.429829936813344,1215298.8814080197,angel,Fintech,first_time,Failure
4,12,152,38.139565927742154,680513,17.094324230062167,1588746.3833681836,angel,Crypto,academic,IPO
3,18,41,51.55534962564467,217077,29.77616485169376,853084.2235746289,none,SaaS,ex_bigtech,Failure
0,17,210,8.73193673891006,78632,25.27371209555504,217394.25320476686,tier2_vc,Fintech,academic,Failure
2,18,206,8.669788006884044,342007,8.397765522951035,1647078.708892924,tier2_vc,Health,serial_founder,Acquisition
1,23,178,51.02168353007077,212801,10.921861406646457,347939.46142170706,none,Health,first_time,Acquisition
4,14,165,25.73166291278338,446626,10.269848515800772,1718515.87061732,tier2_vc,SaaS,first_time,Acquisition
1,1,84,13.157552190602454,351259,27.077866434406822,839414.0265400659,none,Crypto,first_time,Failure
2,4,99,36.43871077301246,118733,12.038644808341296,575099.5083969545,tier2_vc,Health,ex_bigtech,Failure
2,1,83,34.309360378862294,334139,111.03780731337933,865563.2332619512,tier2_vc,Health,academic,Failure
3,21,263,14.353418080706092,330540,8.545730609287428,875370.4282877987,tier1_vc,Climate,first_time,Acquisition
5,8,286,4.0594020312430645,419628,44.12041938100578,479819.8508156273,tier2_vc,SaaS,first_time,Failure
3,1,278,9.21131112798907,333642,50.28050526756991,624828.0386033737,tier2_vc,Crypto,serial_founder,Failure
1,3,132,27.244315583431835,166024,4.537494754635567,664810.5607921985,tier2_vc,SaaS,serial_founder,Failure
3,4,52,4.688805357916047,172090,5.433717438450583,633451.3865250446,tier2_vc,Ecommerce,first_time,Failure
1,22,54,153.24425129088158,311160,19.703624023332136,1249824.7723095382,none,SaaS,first_time,Failure
1,14,130,1.1768929503194137,211410,16.584838853983225,130459.73317844799,tier2_vc,Crypto,first_time,Failure
3,18,49,39.915921143512755,362719,12.651589597059509,1342430.862609886,tier2_vc,AI,first_time,Acquisition
1,1,281,18.85313428776014,476294,88.5571073491765,520413.55716870696,angel,SaaS,ex_bigtech,Failure
3,2,121,70.13905551542784,44308,5.180050673589374,162515.56350184203,none,AI,first_time,Failure
0,15,247,88.27344803969538,291409,14.584397974381414,398082.8687870466,none,AI,first_time,Failure
1,5,140,5.462737475410037,403782,24.023720115254093,1431515.1490804676,tier2_vc,Climate,academic,Acquisition
3,6,288,15.840731016581623,443606,12.004544426735242,761113.9422134915,tier2_vc,Ecommerce,ex_bigtech,Acquisition
0,2,278,89.26006977516528,534064,17.865726326895185,974126.9728826941,none,Fintech,first_time,Failure
5,10,200,16.098183842548107,238219,20.39975515875485,175067.0701757561,angel,Health,serial_founder,Acquisition
1,22,285,1.4458174017874759,427026,2.113807872033677,344035.2780878745,tier2_vc,Fintech,academic,Failure
4,22,137,15.276101473745516,306678,5.26484605135826,1379377.1003881395,tier2_vc,Climate,first_time,Acquisition
0,9,90,66.87203961774144,264894,37.8521726748955,252645.6826569814,tier2_vc,Crypto,serial_founder,Failure
1,14,289,36.71557970801797,218457,14.729944143288948,938105.0027869019,tier2_vc,SaaS,academic,Failure
1,0,90,10.048748765849814,166248,2.780522344172146,660992.206446725,tier2_vc,Fintech,academic,Failure
0,10,8,35.699242033090876,485513,2.601146749441189,1063912.946781405,tier1_vc,Crypto,ex_bigtech,Failure
5,3,201,9.547859146502084,114674,41.448231167694736,174497.9182624178,tier2_vc,Fintech,first_time,Acquisition
3,17,40,49.928007681980006,118855,3.9642560238881805,537572.09332937,none,SaaS,first_time,Failure
3,22,299,13.848828708639632,235341,5.813451898236931,698056.9580261143,angel,Climate,ex_bigtech,Acquisition
3,20,148,6.384639235633031,353165,18.430593906973026,825889.4348169772,none,Climate,ex_bigtech,Acquisition
1,22,299,10.270014956882626,367292,19.360429458615833,1403058.3905456688,angel,Climate,academic,Acquisition
1,21,168,22.822475849972772,254910,1.5408033414784343,1190986.837367672,none,Climate,first_time,Acquisition
4,23,161,3.657949956884479,569460,13.006873515324397,1482617.3482685771,angel,Health,ex_bigtech,IPO
2,24,15,9.694595472744247,73055,9.372189566652532,219225.90752311188,angel,Fintech,serial_founder,Failure
1,4,168,34.23535265342735,347091,12.351009092056739,1021279.026669625,none,SaaS,ex_bigtech,Acquisition
2,0,191,25.283882569965538,199229,15.66456451268708,979353.7660760853,tier1_vc,Crypto,first_time,Acquisition
1,22,298,76.11638644313014,470474,27.590156955183815,1837470.9594016986,none,SaaS,serial_founder,Acquisition
2,7,126,15.940364921088026,488385,15.295328406461813,1941473.5776560286,tier2_vc,Ecommerce,first_time,Acquisition
2,16,70,157.68188399301496,440573,22.52546284712772,1150355.2212740555,tier2_vc,Crypto,first_time,Acquisition
1,23,159,14.242099172225819,335820,6.525626343916103,288642.38769277034,tier2_vc,Climate,ex_bigtech,Failure
2,0,37,11.345754053582507,246971,16.307754460813328,619865.2776313396,tier2_vc,Crypto,academic,Failure
1,1,73,31.313541900199088,434235,27.096917686703488,1930273.904483525,tier1_vc,AI,ex_bigtech,Failure
2,23,42,32.26843323952819,337740,4.511965245568042,731994.509907213,tier2_vc,Fintech,first_time,Failure
5,5,247,72.3220279664634,131402,12.393106693288958,524439.366874028,none,AI,serial_founder,Failure
1,7,91,9.439535393641059,197919,9.984085300743867,180204.06610236818,none,Fintech,first_time,Failure
1,12,85,68.71608816793527,174020,14.762410049628025,301191.83677765063,angel,Fintech,academic,Failure
3,23,154,6.609240267519387,246108,9.347761034120747,969609.4463945809,tier2_vc,Crypto,first_time,Acquisition
4,20,205,13.358121961152472,265531,6.143475214362314,1204061.6482394754,tier2_vc,AI,academic,Failure
2,3,167,128.0496369850836,409138,9.430055337943447,733950.084415309,none,Health,academic,Acquisition
1,4,76,46.183527169210564,477316,3.875922743289635,921713.224088373,none,SaaS,serial_founder,Acquisition
3,2,171,21.388729745791274,445447,6.774538768323736,906166.0775059096,angel,Climate,first_time,Failure
0,10,221,36.59681537229574,208792,10.712117145546026,438973.0440003485,angel,Crypto,academic,Failure
3,22,210,9.64145272390345,651259,7.313991078921781,2469312.383126673,tier1_vc,Crypto,serial_founder,Acquisition
4,3,68,162.36608714030982,278355,7.600087309307197,444444.261833175,tier2_vc,Ecommerce,ex_bigtech,Failure
1,9,101,34.77415704887499,133646,11.589616682247655,345513.3318237662,none,Climate,ex_bigtech,Failure
3,20,100,2.7809253635774476,587962,12.178905972492892,2935172.2202450545,none,SaaS,serial_founder,IPO
4,24,213,6.703904313932262,270467,39.70647105209803,1101150.6812278102,none,Ecommerce,first_time,Acquisition
3,22,267,88.43245488640052,143513,8.937290716246066,148602.85924175117,angel,Fintech,ex_bigtech,Acquisition
2,19,212,2.6530063504310863,339407,12.710239193505684,499359.82616188884,none,Climate,first_time,Failure
2,9,245,16.4137505193497,377960,50.54292871743206,349009.50092280505,tier2_vc,Climate,first_time,Failure
0,15,84,10.801363408915359,173294,15.916713218633147,282400.47080508847,angel,Crypto,academic,Failure
2,22,24,6.272535119504633,55756,19.630713308635688,139577.13364273176,none,Crypto,academic,Failure
2,19,16,37.488185562022785,308881,7.213765808865956,1534474.266806787,angel,SaaS,academic,Acquisition
2,18,269,6.269751359922324,67210,69.88348224553663,173831.19748603433,tier1_vc,Climate,serial_founder,Failure
3,0,218,6.157989642522766,127578,20.010084716446272,457470.1438815626,angel,SaaS,ex_bigtech,Failure
2,22,209,21.791393985034055,216463,25.07302729416372,722352.4831388725,none,Health,serial_founder,Failure
5,7,258,18.893350154076153,97096,22.519048710131056,215870.33756786166,none,Climate,ex_bigtech,Failure
5,3,105,17.919164067409277,330515,19.59243737680039,470487.9268189261,angel,Crypto,first_time,Acquisition
1,2,23,63.604910182006364,326942,30.904994469914598,1570822.5353648562,angel,Ecommerce,academic,Failure
3,13,155,23.264899126331606,641350,25.91863590085845,1265879.7462580153,tier2_vc,Crypto,ex_bigtech,Acquisition
1,10,74,22.795257894357945,597268,28.516362155408284,2398432.0422167387,tier1_vc,Ecommerce,academic,Acquisition
2,21,149,32.85260233106117,247816,3.2496204620410194,223694.53660834202,tier2_vc,AI,ex_bigtech,Failure
3,13,108,13.833669212839474,135758,57.360960485087595,153808.95252564643,tier2_vc,AI,ex_bigtech,Failure
1,5,276,85.05125773175435,198555,8.400962119273313,756663.2373632926,none,Fintech,academic,Failure
2,17,220,100.47532657540823,308848,5.226033302619745,510030.30607504124,none,Health,serial_founder,Acquisition
0,1,12,11.992970403262715,47257,9.1775600213157,107535.1132903143,tier1_vc,Ecommerce,ex_bigtech,Failure
2,18,33,22.167529983001508,299467,29.733251137796337,797451.9580003737,angel,AI,ex_bigtech,Failure
2,5,102,5.893110380803605,326261,18.839364067875547,1446821.0750542441,tier2_vc,AI,ex_bigtech,Acquisition
1,2,121,12.43464415446568,441324,6.536381386512486,1948776.4208490145,tier2_vc,Health,ex_bigtech,Acquisition
1,13,77,26.710300290160177,446080,7.0295308435688915,1265682.2979975147,angel,Fintech,first_time,Acquisition
3,19,73,17.942549911283226,218275,1.8780449101976846,331686.41097801225,tier1_vc,Climate,first_time,Acquisition
1,2,132,16.388978505469396,217288,58.254993525094335,820443.3394893374,tier1_vc,Climate,academic,Acquisition
3,3,129,11.920821526514558,507170,5.8791077070431745,1903880.2586413606,tier2_vc,Fintech,academic,Acquisition
2,15,50,16.48332060991157,226828,10.064447107400095,995080.53210833,angel,Crypto,academic,Acquisition
2,13,273,15.349405027195386,334953,12.592487916816133,1243623.340444583,angel,Crypto,first_time,Acquisition
1,12,251,56.50536840550729,420532,11.559419183684534,777548.8925186619,none,Health,first_time,Failure
2,22,3,131.67968714805355,292893,16.869077967235746,1069475.6553536062,tier2_vc,Climate,first_time,Acquisition
0,18,225,211.1188235684615,439501,6.79702442457712,2107642.545775045,tier2_vc,Crypto,ex_bigtech,Acquisition
1,9,82,37.28397694847231,412170,10.708006872731936,1157347.037748998,tier2_vc,SaaS,first_time,Failure
0,13,188,19.659664640505554,16844,95.47345138430136,27002.27926369731,none,Fintech,ex_bigtech,Failure
0,5,206,41.652519583752685,148765,40.004888161802484,702854.2045081612,none,Health,first_time,Failure
1,12,284,23.21063315478488,363489,4.360661665374933,1482389.737900788,none,Health,first_time,Failure
2,12,236,8.19895822121344,198954,6.884876372792901,499565.1291268404,none,Fintech,first_time,Failure
0,13,69,35.16216659893668,99595,30.725184871886874,440046.6426135913,angel,SaaS,first_time,Failure
3,7,253,9.080230138582296,290005,25.954560995930272,873211.576078232,tier2_vc,Crypto,serial_founder,Failure
2,0,166,21.93749452317671,41514,39.71584227308233,33037.29651120477,tier2_vc,Ecommerce,ex_bigtech,Failure
3,20,235,30.444700492959036,401874,8.829073884836824,821727.9237335336,tier2_vc,Crypto,ex_bigtech,Acquisition
